Model,CtxK,VramBudget,TTFTSpeedup,TPSSpeedup,E2ELSpeedup
qwen3-235b,4K,12G,2.85,2.56,2.67
qwen3-235b,4K,16G,2.70,2.43,2.54
qwen3-235b,4K,24G,2.56,2.34,2.43
qwen3-235b,4K,32G,2.38,2.21,2.28
qwen3-235b,16K,2G,2.44,5.91,3.83
qwen3-235b,16K,4G,2.41,6.74,4.00
qwen3-235b,16K,6G,2.37,8.34,4.25
qwen3-235b,16K,8G,2.38,9.26,4.38
qwen3-235b,16K,12G,2.31,9.11,4.26
qwen3-235b,16K,16G,2.20,8.90,4.09
qwen3-235b,16K,24G,2.10,8.44,3.85
qwen3-235b,16K,32G,1.98,8.11,3.60
qwen3-235b,64K,2G,1.46,8.82,2.96
qwen3-235b,64K,4G,1.74,9.13,3.54
qwen3-235b,64K,6G,1.72,10.08,3.55
qwen3-235b,64K,8G,1.71,11.62,3.66
qwen3-235b,64K,12G,1.68,16.44,3.80
qwen3-235b,64K,16G,1.69,30.08,4.10
qwen3-235b,64K,24G,1.71,28.31,3.83
qwen3-235b,64K,32G,1.68,26.45,3.58
